episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,1,4000,False,0,1,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_10-57-49,1618138669,32.622798681259155,32.622798681259155,703,285e2a0aa751,172.28.0.2,32.622798681259155,0,1,9a92d_00000,[],[],15733.999,254.227,16878.129,236.993,3.236,4000,4000,60.7,27.174468085106394,0.0,0.2,5e-05,1.2799434382468462,-0.04529239400289953,1.3222438897937536,0.26062286,0.014959671389078721,1.0833658911287785,0.0
nan,nan,nan,nan,0,1,8000,False,0,2,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_10-58-17,1618138697,28.288058280944824,60.91085696220398,703,285e2a0aa751,172.28.0.2,60.91085696220398,0,2,9a92d_00000,[],[],13614.292,293.809,16830.552,237.663,3.49,8000,8000,60.879999999999995,27.2,0.0,0.2,5e-05,1.107815932482481,-0.05428689898690209,1.1586871910840273,0.3346921,0.01707820623414591,1.0573115348815918,0.0
75.0,75.0,75.0,10000.0,1,1,12000,False,1,3,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_10-58-45,1618138725,27.83688521385193,88.74774217605591,703,285e2a0aa751,172.28.0.2,88.74774217605591,0,3,9a92d_00000,[75.0],[10000],12925.809,309.458,16645.855,240.3,3.512,12000,12000,60.3875,27.2,0.0,0.2,5e-05,1.0833937153220177,-0.05395240924553946,1.1334652677178383,0.22840115,0.019404286867938936,1.027345210313797,0.0
75.0,75.0,75.0,10000.0,0,1,16000,False,1,4,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_10-59-14,1618138754,28.989225387573242,117.73696756362915,703,285e2a0aa751,172.28.0.2,117.73696756362915,0,4,9a92d_00000,[75.0],[10000],12654.781,316.086,16767.417,238.558,3.739,16000,16000,60.47380952380953,27.200000000000003,0.0,0.2,5e-05,1.4817735999822617,-0.06515787483658642,1.5428650937974453,0.1929521,0.020331909938249737,0.9928107596933842,0.0
241.0,241.0,241.0,10000.0,1,1,20000,False,2,5,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_10-59-43,1618138783,28.683845281600952,146.4208128452301,703,285e2a0aa751,172.28.0.2,146.4208128452301,0,5,9a92d_00000,[241.0],[10000],12491.875,320.208,16779.577,238.385,3.708,20000,20000,60.19268292682927,27.200000000000003,0.0,0.30000000000000004,5e-05,1.8592157773673534,-0.05364387697773054,1.9075467213988304,0.374911,0.017709823849145323,0.9591278545558453,0.0
241.0,241.0,241.0,10000.0,0,1,24000,False,2,6,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-00-11,1618138811,28.305986881256104,174.7267997264862,703,285e2a0aa751,172.28.0.2,174.7267997264862,0,6,9a92d_00000,[241.0],[10000],12340.517,324.136,16768.602,238.541,3.654,24000,24000,60.410000000000004,27.2,0.0,0.30000000000000004,5e-05,2.8324354961514473,-0.05075802587089129,2.8786045908927917,0.39346084,0.015296593774110079,0.9267593901604414,0.0
241.0,241.0,241.0,10000.0,0,1,28000,False,2,7,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-00-40,1618138840,28.796546459197998,203.5233461856842,703,285e2a0aa751,172.28.0.2,203.5233461856842,0,7,9a92d_00000,[241.0],[10000],12359.938,323.626,16702.644,239.483,3.566,28000,28000,59.97073170731708,27.200000000000003,0.0,0.30000000000000004,5e-05,3.24470803886652,-0.054982864821795374,3.2947929203510284,0.22592175,0.01632638182491064,0.8764787074178457,0.0
524.0,524.0,524.0,10000.0,1,1,32000,False,3,8,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-01-08,1618138868,27.85013508796692,231.37348127365112,703,285e2a0aa751,172.28.0.2,231.37348127365112,0,8,9a92d_00000,[524.0],[10000],12164.721,328.82,16744.168,238.889,3.639,32000,32000,60.657500000000006,27.2,0.0,0.30000000000000004,5e-05,2.71244452893734,-0.059869305754546076,2.7665868774056435,0.56799835,0.01908977224957198,0.8641314227133989,0.0
524.0,524.0,524.0,10000.0,0,1,36000,False,3,9,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-01-35,1618138895,27.126370906829834,258.49985218048096,703,285e2a0aa751,172.28.0.2,258.49985218048096,0,9,9a92d_00000,[524.0],[10000],12008.403,333.1,16701.144,239.505,3.755,36000,36000,60.21282051282052,27.200000000000006,0.0,0.30000000000000004,5e-05,4.144904009997845,-0.056565213919384405,4.197143577039242,0.6020389,0.014418799779377878,0.847679765895009,0.0
513.0,513.0,513.0,10000.0,1,1,40000,False,4,10,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-02-03,1618138923,27.866333484649658,286.3661856651306,703,285e2a0aa751,172.28.0.2,286.3661856651306,0,10,9a92d_00000,[513.0],[10000],11908.362,335.898,16715.432,239.3,3.688,40000,40000,60.86410256410257,27.200000000000006,0.0,0.30000000000000004,5e-05,5.009316377341747,-0.053399292286485434,5.058241635560989,0.4972177,0.014913299877662212,0.8131784088909626,0.0
