episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,1,4000,False,0,1,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-57-49,1618138669,22.404359102249146,22.404359102249146,751,185d2eeac0d1,172.28.0.2,22.404359102249146,0,1,a4e1f_00000,[],[],10684.494,374.374,11710.042,341.587,3.041,4000,4000,57.615624999999994,26.9625,0.0,0.2,5e-05,0.9564022123813629,-0.04654676356585696,1.0003601759672165,0.25058872,0.012944000161951408,1.0854780972003937,0.0
nan,nan,nan,nan,0,1,8000,False,0,2,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-58-08,1618138688,18.745776891708374,41.15013599395752,751,185d2eeac0d1,172.28.0.2,41.15013599395752,0,2,a4e1f_00000,[],[],8887.834,450.053,11677.502,342.539,2.82,8000,8000,57.11851851851852,27.0,0.0,0.2,5e-05,0.8949156422168016,-0.05146123736631125,0.9429642651230097,0.2826652,0.01706303789978847,1.060148075222969,0.0
62.0,62.0,62.0,10000.0,1,1,12000,False,1,3,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-58-26,1618138706,18.72985315322876,59.87998914718628,751,185d2eeac0d1,172.28.0.2,59.87998914718628,0,3,a4e1f_00000,[62.0],[10000],8322.078,480.649,11628.958,343.969,2.69,12000,12000,57.644444444444446,27.0,0.0,0.2,5e-05,0.6104680169373751,-0.060798422258812934,0.6677524615079165,0.45379126,0.017569875984918326,1.0286804549396038,0.0
62.0,62.0,62.0,10000.0,0,1,16000,False,1,4,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-58-46,1618138726,19.27550983428955,79.15549898147583,751,185d2eeac0d1,172.28.0.2,79.15549898147583,0,4,a4e1f_00000,[62.0],[10000],8170.697,489.554,11609.422,344.548,2.713,16000,16000,57.682142857142864,27.0,0.0,0.2,5e-05,2.285941895097494,-0.05539068958023563,2.3371195644140244,0.5801271,0.021065071923658252,0.9535374026745558,0.0
267.0,267.0,267.0,10000.0,1,1,20000,False,2,5,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-59-05,1618138745,18.949352741241455,98.10485172271729,751,185d2eeac0d1,172.28.0.2,98.10485172271729,0,5,a4e1f_00000,[267.0],[10000],8010.423,499.349,11601.639,344.779,2.732,20000,20000,57.15555555555555,27.0,0.0,0.30000000000000004,5e-05,2.739310495555401,-0.05586903152288869,2.7904237508773804,0.456625,0.015852517273742706,0.9484018292278051,0.0
267.0,267.0,267.0,10000.0,0,1,24000,False,2,6,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-59-24,1618138764,19.347684621810913,117.4525363445282,751,185d2eeac0d1,172.28.0.2,117.4525363445282,0,6,a4e1f_00000,[267.0],[10000],7968.58,501.971,11598.208,344.881,2.73,24000,24000,57.766666666666666,27.0,0.0,0.30000000000000004,5e-05,2.460766278207302,-0.04957205633400008,2.505906295031309,0.29892436,0.014773435977986082,0.8765409681946039,0.0
267.0,267.0,267.0,10000.0,0,1,28000,False,2,7,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_10-59-43,1618138783,18.75573182106018,136.20826816558838,751,185d2eeac0d1,172.28.0.2,136.20826816558838,0,7,a4e1f_00000,[267.0],[10000],7845.142,509.87,11604.11,344.705,2.872,28000,28000,57.02592592592591,27.0,0.0,0.30000000000000004,5e-05,3.9257073923945427,-0.04740542033687234,3.968736544251442,0.5086114,0.014587712823413312,0.863006703555584,0.0
537.0,537.0,537.0,10000.0,1,1,32000,False,3,8,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-00-03,1618138803,19.68605399131775,155.89432215690613,751,185d2eeac0d1,172.28.0.2,155.89432215690613,0,8,a4e1f_00000,[537.0],[10000],7855.811,509.177,11621.693,344.184,2.868,32000,32000,57.449999999999996,27.0,0.0,0.30000000000000004,5e-05,4.633906207978725,-0.04419399966718629,4.674164168536663,0.39696914,0.013120512157911435,0.8072747830301523,0.0
537.0,537.0,537.0,10000.0,0,1,36000,False,3,9,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-00-24,1618138824,20.921049118041992,176.81537127494812,751,185d2eeac0d1,172.28.0.2,176.81537127494812,0,9,a4e1f_00000,[537.0],[10000],8021.45,498.663,11615.579,344.365,2.83,36000,36000,57.18333333333332,27.0,0.0,0.30000000000000004,5e-05,4.662587456405163,-0.053480549599044025,4.711557105183601,0.25412643,0.01503656999557279,0.7800772935152054,0.0
883.0,883.0,883.0,10000.0,1,1,40000,False,4,10,7a942fd85f1e4053b7de3da25ff98b22,2021-04-11_11-00-45,1618138845,21.17872166633606,197.99409294128418,751,185d2eeac0d1,172.28.0.2,197.99409294128418,0,10,a4e1f_00000,[883.0],[10000],8180.818,488.949,11609.433,344.547,2.804,40000,40000,57.193333333333335,27.0,0.0,0.30000000000000004,5e-05,5.377753183245659,-0.047764258342795074,5.421351596713066,0.19082117,0.013886112137697637,0.714862672612071,0.0
