episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,1,4000,False,0,1,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_10-58-01,1618138681,23.369654655456543,23.369654655456543,792,24fef9483094,172.28.0.2,23.369654655456543,0,1,aa3c4_00000,[],[],11839.019,337.866,11522.176,347.157,3.108,4000,4000,57.858823529411765,27.023529411764706,0.0,0.2,5e-05,1.4608094245195389,-0.043908312742132694,1.5020350106060505,0.14762846,0.013413660548394546,1.0849049277603626,0.0
nan,nan,nan,nan,0,1,8000,False,0,2,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_10-58-22,1618138702,21.13536810874939,44.50502276420593,792,24fef9483094,172.28.0.2,44.50502276420593,0,2,aa3c4_00000,[],[],10762.763,371.652,11481.432,348.389,2.998,8000,8000,61.36999999999999,27.05,0.0,0.2,5e-05,1.1028840709477663,-0.051168186648283154,1.1509516146034002,0.2726187,0.015503266564337537,1.0652060061693192,0.0
60.0,60.0,60.0,10000.0,1,1,12000,False,1,3,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_10-58-42,1618138722,19.818300008773804,64.32332277297974,792,24fef9483094,172.28.0.2,64.32332277297974,0,3,aa3c4_00000,[60.0],[10000],9927.47,402.922,11504.904,347.678,2.925,12000,12000,57.074999999999996,27.0,0.0,0.2,5e-05,1.2478396333754063,-0.054023212287575006,1.2980172336101532,0.4717782,0.019228024233598262,1.0354138650000095,0.0
60.0,60.0,60.0,10000.0,0,1,16000,False,1,4,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_10-59-02,1618138742,20.56639790534973,84.88972067832947,792,24fef9483094,172.28.0.2,84.88972067832947,0,4,aa3c4_00000,[60.0],[10000],9724.65,411.326,11488.751,348.167,2.925,16000,16000,57.496666666666655,27.0,0.0,0.2,5e-05,2.300493437796831,-0.0531731829396449,2.349727477878332,0.34025496,0.01969594438560307,0.981165049597621,0.0
337.0,337.0,337.0,10000.0,1,1,20000,False,2,5,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_10-59-22,1618138762,20.143783569335938,105.0335042476654,792,24fef9483094,172.28.0.2,105.0335042476654,0,5,aa3c4_00000,[337.0],[10000],9531.37,419.667,11466.121,348.854,2.839,20000,20000,57.635714285714286,27.0,0.0,0.2,5e-05,3.1814699918031693,-0.05431341158691794,3.2319665029644966,0.44721186,0.019084637984633446,0.9090386442840099,0.0
337.0,337.0,337.0,10000.0,0,1,24000,False,2,6,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_10-59-43,1618138783,20.463037490844727,125.49654173851013,792,24fef9483094,172.28.0.2,125.49654173851013,0,6,aa3c4_00000,[337.0],[10000],9431.193,424.124,11475.575,348.566,2.819,24000,24000,57.24333333333334,27.0,0.0,0.2,5e-05,3.9270788356661797,-0.05116051418008283,3.9746128767728806,0.28464746,0.0181322650751099,0.871813589707017,0.0
337.0,337.0,337.0,10000.0,0,1,28000,False,2,7,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-00-03,1618138803,20.291524648666382,145.7880663871765,792,24fef9483094,172.28.0.2,145.7880663871765,0,7,aa3c4_00000,[337.0],[10000],9327.884,428.822,11489.919,348.131,2.816,28000,28000,57.49655172413794,27.0,0.0,0.2,5e-05,2.4775268845260143,-0.05433428898686543,2.528435815125704,0.61806333,0.01712670663255267,0.8568815533071756,0.0
606.0,606.0,606.0,10000.0,1,1,32000,False,3,8,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-00-23,1618138823,19.369620084762573,165.1576864719391,792,24fef9483094,172.28.0.2,165.1576864719391,0,8,aa3c4_00000,[606.0],[10000],9144.003,437.445,11491.846,348.073,2.812,32000,32000,57.05925925925926,27.0,0.0,0.2,5e-05,5.691152065992355,-0.05063961539417505,5.738550320267677,0.40978724,0.01620672777062282,0.7824255749583244,0.0
606.0,606.0,606.0,10000.0,0,1,36000,False,3,9,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-00-42,1618138842,19.71187710762024,184.86956357955933,792,24fef9483094,172.28.0.2,184.86956357955933,0,9,aa3c4_00000,[606.0],[10000],9044.792,442.243,11487.443,348.206,2.775,36000,36000,57.732142857142854,27.0,0.0,0.2,5e-05,5.6997373551130295,-0.04184927904861979,5.738016650080681,0.48103353,0.017850010190159082,0.7415107041597366,0.0
846.0,846.0,846.0,10000.0,1,1,40000,False,4,10,74f23f8c05a34750be5ca7f2cbbfac0c,2021-04-11_11-01-03,1618138863,20.85966205596924,205.72922563552856,792,24fef9483094,172.28.0.2,205.72922563552856,0,10,aa3c4_00000,[846.0],[10000],9086.767,440.201,11477.225,348.516,2.771,40000,40000,56.940000000000005,27.0,0.0,0.2,5e-05,6.215489849448204,-0.054218109347857535,6.266192451119423,0.40063488,0.017576986167114228,0.6402270309627056,0.0
